Fruit.id,Fruit.batch,Day,Date,Ripeness.stage,Weight,Sugar.content,Primate.red-green.contrast,Primate.blue-yellow.contrast,Primate.luminance,Passerine.red-green.contrast,Passerine.blue-yellow.contrast,Passerine.luminance,Instant.modulus.test,Shannon.index
M104,U12,Day12,2021-08-09,3,397,14.56666667,0.5369174,0.16863879,0.28093515,0.630600539,0.205508572,34.5218449,0.20077,1.527264753
M107,U12,Day13,2021-08-10,4,409,20.33333333,0.5489103,0.09068797,0.54842073,0.658643942,0.145413775,68.4793682,0.13612,0.931617447
M106,U12,Day14,2021-08-11,4,365,18.83333333,0.5442924,0.10249565,0.37484479,0.647693142,0.157317604,46.50706444,0.17826,0.902979198
M109,U13,Day02,2021-07-30,1,486,16.43333333,0.5055243,0.20642405,0.42303738,0.508935738,0.310157038,45.07442698,0.9281,0
M114,U13,Day04,2021-08-01,1,394,18.03333333,0.5131228,0.15639927,0.39255193,0.538283497,0.25534083,43.04504062,0.57488,0
M116,U13,Day05,2021-08-02,2,478,19.2,0.541079706,0.136488905,NA,0.634509015,0.172076681,97.66084674,0.32761,0.65769152
M111,U13,Day06,2021-08-03,2,453,18.56666667,0.5579035,0.27897735,0.33146445,0.6947854,0.230682934,45.95084746,0.36805,0
M113,U13,Day09,2021-08-06,3,501,22.43333333,0.5371184,0.10705223,0.662308,0.619883173,0.17030493,76.2077618,0.17807,1.112283975
M110,U13,Day11,2021-08-08,3,390,21.96666667,0.5523495,0.09486565,0.46681861,0.52725454,0.437636386,31.65162037,0.30827,0.93341824
M112,U13,Day13,2021-08-10,4,421,19.33333333,0.5579593,0.09519841,0.4138656,0.686174099,0.137782191,55.2513341,0.24916,0
M117,U13,Day14,2021-08-11,4,386,20.16666667,0.5461882,0.19222903,0.29019943,0.660148893,0.203525984,37.57534698,0.06977,1.180592283
M115,U13,Day15,2021-08-12,4,403,20.1,0.5436862,0.21204634,0.33259737,0.642149514,0.164282852,41.63906276,0.14393,0.305941474
M120,U14,Day03,2021-07-31,1,457,16.76666667,0.5270283,0.24035895,0.42814509,0.596251816,0.273737247,50.69185702,0.74088,0
M124,U14,Day04,2021-08-01,1,515,16.86666667,0.5272131,0.11374061,0.61153373,0.585038426,0.197077076,68.71899929,0.30087,0.66260106
M123,U14,Day06,2021-08-03,2,453,18.63333333,0.5325756,0.18178032,0.43217442,0.612074324,0.227757468,52.06898263,0.3269,0
M122,U14,Day07,2021-08-04,2,482,19.73333333,0.5221885,0.13677163,0.46337694,0.718283868,0.539809667,41.86560406,0.27434,0.474139313
M121,U14,Day09,2021-08-06,3,467,23.4,0.5354145,0.18499683,0.36996415,1,0.862338743,15.92899555,0.19293,1.835691864
M119,U14,Day11,2021-08-08,3,409,21.66666667,0.5515275,0.09891664,0.48241853,0.667394821,0.147448538,61.82178727,0.18162,0.199325408
M118,U14,Day12,2021-08-09,3,411,18.5,0.5223256,0.11246555,0.42545101,0.570463599,0.206448806,48.03823552,0.29109,0.93691812
M126,U14,Day13,2021-08-10,4,397,22.16666667,0.5448729,0.15911619,0.33636144,0.653184243,0.188297531,42.52695839,0.02465,NA
M125,U14,Day16,2021-08-13,4,396,22.03333333,0.5367312,0.11688771,0.36862593,0.623986323,0.174606957,43.52260254,0.27014,0
M132,U15,Day02,2021-07-30,1,551,16.3,0.5585482,0.25923538,0.30433768,0.696460367,0.219008755,42.28716635,0.96091,1.673185714
M129,U15,Day04,2021-08-01,1,429,21.26666667,0.5159201,0.16357108,0.46977384,0.547908555,0.255101508,51.8700698,0.78002,0
M130,U15,Day06,2021-08-03,2,441,20.63333333,0.5356922,0.13404611,0.67100401,0.616600172,0.190222615,77.69444914,0.19887,0.434735285
M134,U15,Day07,2021-08-04,2,500,20.26666667,0.5450907,0.14767998,0.60635363,0.782700196,0.422176463,61.47244531,0.26843,0
M127,U15,Day09,2021-08-06,3,450,20.7,0.547313011,0.082106177,0.626464215,0.652944847,0.141824439,73.89654566,0.19581,0
M131,U15,Day10,2021-08-07,3,414,20.6,0.5233576,0.22102682,0.19534668,0.592785869,0.251246984,22.34709133,NA,1.183414125
M128,U15,Day15,2021-08-12,4,465,21.33333333,NA,0.1467974,0.36879649,0.707266876,0.155453195,51.71358405,0.06489,0
M133,U15,Day16,2021-08-13,4,463,21.53333333,0.5441215,0.07909039,0.47463221,0.643737078,0.147577013,58.66273429,0.32671,0
M137,U16,Day02,2021-07-30,1,495,17.16666667,0.5249323,0.17379092,0.35867408,0.586572077,0.237081354,41.88488638,0.82676,1.651124234
